Hexa44 Power Supply (Chip 1): Agilent Technologies,E3648A,0,1.7-5.0-1.0
    Limits: Voltage=1.2200, Current=0.6000
Hexa48 Power Supply (Chip 4): Agilent Technologies,E3642A,0,1.6-5.0-1.0
    Limits: Voltage=1.2400, Current=0.6000
2023-08-05 10:09:00.473022 Hexa44 Chip 1 Power: On, Voltage=1.22109, Current=0.26028, Power=0.31783
2023-08-05 10:09:00.473022 Hexa48 Chip 4 Power: On, Voltage=1.23659, Current=0.26307, Power=0.32532
2023-08-05 10:09:03.369132 Hexa44 Chip 1 Power: On, Voltage=1.22097, Current=0.26032, Power=0.31785
2023-08-05 10:09:03.369132 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26306, Power=0.32528
2023-08-05 10:09:06.319436 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26030, Power=0.31782
2023-08-05 10:09:06.319436 Hexa48 Chip 4 Power: On, Voltage=1.23654, Current=0.26307, Power=0.32530
2023-08-05 10:09:09.212971 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26032, Power=0.31786
2023-08-05 10:09:09.212971 Hexa48 Chip 4 Power: On, Voltage=1.23649, Current=0.26303, Power=0.32523
2023-08-05 10:09:12.110483 Hexa44 Chip 1 Power: On, Voltage=1.22094, Current=0.26032, Power=0.31784
2023-08-05 10:09:12.110483 Hexa48 Chip 4 Power: On, Voltage=1.23664, Current=0.26307, Power=0.32533
2023-08-05 10:09:15.002015 Hexa44 Chip 1 Power: On, Voltage=1.22117, Current=0.26034, Power=0.31792
2023-08-05 10:09:15.002015 Hexa48 Chip 4 Power: On, Voltage=1.23659, Current=0.26303, Power=0.32526
2023-08-05 10:09:17.906910 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26034, Power=0.31788
2023-08-05 10:09:17.906910 Hexa48 Chip 4 Power: On, Voltage=1.23659, Current=0.26305, Power=0.32529
2023-08-05 10:09:20.802277 Hexa44 Chip 1 Power: On, Voltage=1.22102, Current=0.26031, Power=0.31784
2023-08-05 10:09:20.802277 Hexa48 Chip 4 Power: On, Voltage=1.23664, Current=0.26303, Power=0.32527
